time_s,load_fraction,rpm,boiler_pressure_bar,electrical_kW,boiler_duty_kW,cycle_efficiency_pct,vibration_mm_s,bearing_temp_C,fault_label
39.0,0.6544,2966.1,14.755,49.0,308.2,15.9,1.601,61.32,normal
40.0,0.6558,2970.6,14.801,49.2,309.3,15.9,1.752,61.14,normal
41.0,0.6435,2969.9,14.771,49.2,309.3,15.9,1.663,65.23,normal
42.0,0.6525,2972.1,14.793,49.2,309.3,15.9,1.689,61.97,normal
43.0,0.6588,2966.7,14.733,49.2,309.3,15.9,1.522,62.34,normal
44.0,0.6776,2964.3,14.782,49.2,309.3,15.9,1.365,62.04,normal
45.0,0.6747,2970.2,14.694,50.6,318.2,15.9,1.498,62.94,normal
46.0,0.655,2969.9,14.748,50.6,318.2,15.9,1.495,63.96,normal
47.0,0.6589,2963.3,14.755,50.6,318.2,15.9,1.496,62.95,normal
48.0,0.6465,2968.5,14.77,50.6,318.2,15.9,1.718,61.21,normal
49.0,0.6449,2967.2,14.711,50.6,318.2,15.9,1.852,62.48,normal
50.0,0.6348,2970.8,14.847,47.6,299.4,15.9,1.736,60.86,normal
51.0,0.6376,2971.7,14.706,47.6,299.4,15.9,1.649,62.72,normal
52.0,0.6345,2967.4,14.577,47.6,299.4,15.9,1.427,61.87,normal
53.0,0.6298,2972.2,14.665,47.6,299.4,15.9,1.512,62.14,normal
54.0,0.6543,2963.9,14.797,47.6,299.4,15.9,1.594,61.45,normal
55.0,0.6568,2969.1,14.71,49.3,309.7,15.9,1.605,61.95,normal
56.0,0.6545,2970.6,14.819,49.3,309.7,15.9,1.407,63.94,normal
57.0,0.6327,2967.2,14.766,49.3,309.7,15.9,1.622,61.56,normal
58.0,0.6393,2966.3,14.708,49.3,309.7,15.9,1.711,62.4,normal
59.0,0.6377,2970.4,14.751,49.3,309.7,15.9,1.705,62.61,normal
60.0,0.6356,2965.8,14.772,47.7,299.7,15.9,1.673,62.07,normal
61.0,0.644,2971.6,14.705,47.7,299.7,15.9,1.668,61.99,normal
62.0,0.6448,2971.2,14.776,47.7,299.7,15.9,1.709,63.2,normal
63.0,0.6476,2970.0,14.72,47.7,299.7,15.9,1.637,62.08,normal
64.0,0.6498,2970.0,14.695,47.7,299.7,15.9,1.904,61.39,normal
65.0,0.6378,2971.2,14.774,47.8,300.8,15.9,1.676,62.61,normal
66.0,0.6438,2965.2,14.739,47.8,300.8,15.9,1.485,62.93,normal
67.0,0.6454,2965.5,14.719,47.8,300.8,15.9,1.649,61.71,normal
68.0,0.6395,2968.5,14.746,47.8,300.8,15.9,1.508,61.74,normal
69.0,0.6471,2963.7,14.665,47.8,300.8,15.9,1.48,62.01,normal
70.0,0.6516,2972.7,14.778,48.9,307.3,15.9,1.567,62.2,normal
71.0,0.6408,2967.8,14.72,48.9,307.3,15.9,1.633,61.46,normal
72.0,0.6506,2972.9,14.73,48.9,307.3,15.9,1.651,62.76,normal
73.0,0.6463,2968.9,14.736,48.9,307.3,15.9,1.602,61.55,normal
74.0,0.6484,2969.8,14.808,48.9,307.3,15.9,1.733,63.91,normal
75.0,0.6415,2970.6,14.743,48.1,302.5,15.9,1.913,61.49,normal
76.0,0.6374,2965.9,14.627,48.1,302.5,15.9,1.504,61.49,normal
77.0,0.6452,2969.0,14.828,48.1,302.5,15.9,1.73,61.7,normal
78.0,0.6386,2969.2,14.667,48.1,302.5,15.9,1.858,63.05,normal
79.0,0.6396,2962.6,14.801,48.1,302.5,15.9,1.567,63.11,normal
80.0,0.6289,2965.4,14.731,47.2,296.6,15.9,1.584,61.67,normal
81.0,0.6457,2964.6,14.726,47.2,296.6,15.9,1.605,62.58,normal
82.0,0.655,2964.9,14.657,47.2,296.6,15.9,1.785,62.51,normal
83.0,0.645,2972.7,14.739,47.2,296.6,15.9,1.764,62.21,normal
84.0,0.6681,2974.4,14.724,47.2,296.6,15.9,1.747,62.86,normal
85.0,0.6728,2966.6,14.772,50.5,317.3,15.9,1.762,60.98,normal
86.0,0.6495,2962.6,14.724,50.5,317.3,15.9,1.697,63.4,normal
87.0,0.6505,2973.6,14.668,50.5,317.3,15.9,1.335,62.16,normal
88.0,0.6541,2968.7,14.634,50.5,317.3,15.9,1.579,61.19,normal
89.0,0.6588,2970.2,14.691,50.5,317.3,15.9,1.518,61.42,normal
90.0,0.6538,2971.8,14.689,49.0,308.3,15.9,1.668,61.81,normal
91.0,0.644,2968.1,14.685,49.0,308.3,15.9,1.503,61.19,normal
92.0,0.6666,2969.4,14.704,49.0,308.3,15.9,1.632,62.24,normal
93.0,0.6561,2970.8,14.777,49.0,308.3,15.9,1.514,61.79,normal
94.0,0.6503,2961.9,14.663,49.0,308.3,15.9,1.795,63.52,normal
95.0,0.6477,2970.3,14.754,48.6,305.4,15.9,2.05,63.08,normal
96.0,0.6476,2965.6,14.658,48.6,305.4,15.9,1.619,61.58,normal
97.0,0.6346,2966.0,14.682,48.6,305.4,15.9,1.834,62.78,normal
98.0,0.6422,2972.4,14.74,48.6,305.4,15.9,1.456,63.36,normal
99.0,0.6515,2965.3,14.727,48.6,305.4,15.9,1.46,61.11,normal
100.0,0.66,2974.5,14.668,49.5,311.3,15.9,1.68,61.76,normal
101.0,0.6502,2966.7,14.695,49.5,311.3,15.9,1.597,61.54,normal
102.0,0.6528,2968.4,14.726,49.5,311.3,15.9,1.456,61.76,normal
103.0,0.659,2970.4,14.69,49.5,311.3,15.9,1.61,62.87,normal
104.0,0.6378,2969.7,14.704,49.5,311.3,15.9,1.668,61.49,normal
105.0,0.6259,2962.5,14.736,46.9,295.2,15.9,1.614,61.28,normal
106.0,0.6443,2962.9,14.732,46.9,295.2,15.9,1.405,61.63,normal
107.0,0.6476,2965.5,14.717,46.9,295.2,15.9,1.74,61.72,normal
108.0,0.6572,2965.2,14.763,46.9,295.2,15.9,1.811,60.28,normal
109.0,0.6456,2969.9,14.726,46.9,295.2,15.9,1.643,61.68,normal
110.0,0.6487,2967.8,14.794,48.7,305.9,15.9,1.627,62.46,normal
111.0,0.6452,2966.7,14.714,48.7,305.9,15.9,1.646,61.82,normal
112.0,0.6505,2974.6,14.78,48.7,305.9,15.9,1.541,63.16,normal
113.0,0.6462,2962.1,14.686,48.7,305.9,15.9,1.307,61.89,normal
114.0,0.6483,2973.3,14.752,48.7,305.9,15.9,1.556,62.85,normal
115.0,0.627,2968.1,14.772,47.0,295.7,15.9,1.354,62.93,normal
116.0,0.6419,2966.6,14.766,47.0,295.7,15.9,1.926,62.28,normal
117.0,0.6485,2966.7,14.693,47.0,295.7,15.9,1.714,61.5,normal
118.0,0.65,2966.8,14.759,47.0,295.7,15.9,1.64,63.03,normal
119.0,0.6449,2967.3,14.686,47.0,295.7,15.9,1.52,62.46,normal
120.0,0.655,2965.7,14.779,49.1,308.9,15.9,1.796,62.57,normal
121.0,0.6713,2967.1,14.676,49.1,308.9,15.9,1.336,63.57,normal
122.0,0.6672,2969.2,14.753,49.1,308.9,15.9,1.431,64.29,normal
123.0,0.6599,2969.6,14.775,49.1,308.9,15.9,1.668,62.46,normal
124.0,0.6471,2970.1,14.832,49.1,308.9,15.9,1.79,63.45,normal
125.0,0.6434,2965.4,14.731,48.3,303.4,15.9,1.594,63.02,normal
126.0,0.6298,2972.3,14.727,48.3,303.4,15.9,1.514,61.23,normal
127.0,0.6234,2969.6,14.737,48.3,303.4,15.9,1.381,60.95,normal
128.0,0.6333,2972.3,14.72,48.3,303.4,15.9,1.355,61.87,normal
129.0,0.639,2959.4,14.73,48.3,303.4,15.9,1.549,62.67,normal
130.0,0.663,2972.0,14.723,49.7,312.7,15.9,1.432,64.36,normal
131.0,0.6571,2968.6,14.735,49.7,312.7,15.9,1.624,62.14,normal
132.0,0.6478,2966.7,14.734,49.7,312.7,15.9,1.507,61.61,normal
133.0,0.65,2967.6,14.811,49.7,312.7,15.9,1.192,63.07,normal
134.0,0.6625,2962.8,14.721,49.7,312.7,15.9,1.542,61.17,normal
135.0,0.6485,2965.2,14.825,48.6,305.8,15.9,1.729,63.21,normal
136.0,0.6565,2965.4,14.712,48.6,305.8,15.9,1.667,61.27,normal
137.0,0.6604,2968.4,14.719,48.6,305.8,15.9,1.703,62.64,normal
138.0,0.6516,2972.3,14.684,48.6,305.8,15.9,1.683,62.69,normal
139.0,0.6477,2969.6,14.674,48.6,305.8,15.9,1.727,62.03,normal
140.0,0.6437,2971.4,14.702,48.3,303.5,15.9,1.375,60.9,normal
141.0,0.6529,2964.8,14.826,48.3,303.5,15.9,1.279,63.58,normal
142.0,0.6536,2968.4,14.711,48.3,303.5,15.9,1.652,62.2,normal
143.0,0.6628,2969.4,14.747,48.3,303.5,15.9,1.543,62.26,normal
144.0,0.6595,2964.0,14.672,48.3,303.5,15.9,1.707,62.41,normal
145.0,0.6529,2969.0,14.756,49.0,307.9,15.9,1.511,61.6,normal
146.0,0.6534,2966.0,14.759,49.0,307.9,15.9,1.337,63.05,normal
147.0,0.6565,2969.8,14.789,49.0,307.9,15.9,1.844,63.06,normal
148.0,0.6348,2964.2,14.706,49.0,307.9,15.9,1.585,62.49,normal
149.0,0.6352,2968.4,14.698,49.0,307.9,15.9,1.489,60.96,normal
150.0,0.6334,2963.5,14.686,47.5,298.7,15.9,1.738,61.31,normal
151.0,0.668,2970.5,14.748,47.5,298.7,15.9,1.472,62.9,normal
152.0,0.6533,2969.0,14.866,47.5,298.7,15.9,1.578,63.15,normal
153.0,0.6446,2968.2,14.826,47.5,298.7,15.9,1.493,63.61,normal
154.0,0.6544,2966.9,14.77,47.5,298.7,15.9,1.739,62.73,normal
155.0,0.6365,2965.7,14.724,47.7,300.2,15.9,1.571,62.59,normal
156.0,0.6451,2964.1,14.755,47.7,300.2,15.9,1.679,62.61,normal
157.0,0.6584,2971.2,14.761,47.7,300.2,15.9,1.585,60.94,normal
158.0,0.6585,2969.5,14.752,47.7,300.2,15.9,1.404,61.4,normal
159.0,0.6648,2969.1,14.774,47.7,300.2,15.9,1.603,62.34,normal
160.0,0.6668,2968.0,14.746,50.0,314.5,15.9,1.531,61.99,normal
161.0,0.6553,2969.8,14.716,50.0,314.5,15.9,1.782,61.53,normal
162.0,0.6508,2967.6,14.811,50.0,314.5,15.9,1.62,63.03,normal
163.0,0.6356,2968.9,14.781,50.0,314.5,15.9,1.594,62.94,normal
164.0,0.6376,2972.2,14.852,50.0,314.5,15.9,1.528,61.74,normal
165.0,0.6584,2973.5,14.713,49.4,310.5,15.9,1.532,62.04,normal
166.0,0.6408,2965.3,14.687,49.4,310.5,15.9,1.469,62.1,normal
167.0,0.6478,2973.0,14.687,49.4,310.5,15.9,1.736,62.01,normal
168.0,0.6484,2970.3,14.681,49.4,310.5,15.9,1.646,62.32,normal
169.0,0.6542,2969.5,14.861,49.4,310.5,15.9,1.497,61.81,normal
170.0,0.6459,2966.6,14.705,48.4,304.6,15.9,1.766,63.3,normal
171.0,0.6423,2965.6,14.76,48.4,304.6,15.9,1.503,62.64,normal
172.0,0.6482,2963.8,14.814,48.4,304.6,15.9,1.858,61.7,normal
173.0,0.6452,2969.1,14.753,48.4,304.6,15.9,1.686,63.77,normal
174.0,0.6459,2965.8,14.667,48.4,304.6,15.9,1.478,62.14,normal
175.0,0.6659,2967.5,14.75,49.9,314.0,15.9,1.597,63.28,normal
176.0,0.6833,2968.5,14.718,49.9,314.0,15.9,1.767,63.01,normal
177.0,0.6851,2972.3,14.726,49.9,314.0,15.9,1.7,63.37,normal
178.0,0.6758,2971.9,14.797,49.9,314.0,15.9,1.781,63.51,normal
179.0,0.6694,2969.7,14.751,49.9,314.0,15.9,1.783,61.7,normal
180.0,0.6634,2968.7,14.745,49.8,312.9,15.9,1.79,62.46,normal
181.0,0.6572,2965.5,14.781,49.8,312.9,15.9,1.691,63.99,normal
182.0,0.6506,2969.9,14.755,49.8,312.9,15.9,1.827,62.13,normal
183.0,0.6531,2970.9,14.752,49.8,312.9,15.9,1.525,62.38,normal
184.0,0.6623,2966.4,14.751,49.8,312.9,15.9,1.492,63.25,normal
185.0,0.641,2966.8,14.76,48.1,302.3,15.9,1.819,62.08,normal
186.0,0.64,2973.9,14.668,48.1,302.3,15.9,1.254,62.47,normal
187.0,0.64,2965.0,14.774,48.1,302.3,15.9,1.621,61.67,normal
188.0,0.6322,2970.2,14.771,48.1,302.3,15.9,1.564,63.53,normal
189.0,0.6304,2962.8,14.701,48.1,302.3,15.9,1.571,62.24,normal
190.0,0.6378,2968.6,14.673,47.8,300.8,15.9,1.799,62.04,normal
191.0,0.6551,2969.3,14.761,47.8,300.8,15.9,1.679,62.6,normal
192.0,0.659,2972.6,14.748,47.8,300.8,15.9,1.702,62.2,normal
193.0,0.6689,2967.2,14.83,47.8,300.8,15.9,1.595,61.21,normal
194.0,0.6608,2967.1,14.782,47.8,300.8,15.9,1.499,61.93,normal
195.0,0.6365,2966.7,14.617,47.7,300.2,15.9,1.344,62.7,normal
196.0,0.6512,2969.9,14.691,47.7,300.2,15.9,1.584,62.21,normal
197.0,0.639,2972.5,14.781,47.7,300.2,15.9,1.55,62.13,normal
198.0,0.6466,2962.1,14.725,47.7,300.2,15.9,1.486,61.37,normal
199.0,0.6455,2973.6,14.769,47.7,300.2,15.9,1.502,62.62,normal
200.0,0.6618,2971.7,14.742,49.6,312.1,15.9,1.5,62.85,normal
201.0,0.6599,2971.7,14.771,49.6,312.1,15.9,1.753,61.85,normal
202.0,0.6681,2970.1,14.845,49.6,312.1,15.9,1.497,63.73,normal
203.0,0.6611,2967.3,14.717,49.6,312.1,15.9,1.549,62.63,normal
204.0,0.6608,2967.6,14.74,49.6,312.1,15.9,1.918,63.67,normal
205.0,0.6598,2969.4,14.747,49.5,311.2,15.9,1.688,61.46,normal
206.0,0.6524,2964.0,14.761,49.5,311.2,15.9,1.689,61.83,normal
207.0,0.667,2965.9,14.669,49.5,311.2,15.9,1.634,63.17,normal
208.0,0.6754,2968.7,14.798,49.5,311.2,15.9,1.599,62.27,normal
209.0,0.6716,2972.1,14.666,49.5,311.2,15.9,1.824,63.48,normal
210.0,0.6546,2970.6,14.768,49.1,308.7,15.9,1.632,61.8,normal
211.0,0.6456,2968.8,14.801,49.1,308.7,15.9,1.669,61.87,normal
212.0,0.6556,2960.6,14.8,49.1,308.7,15.9,1.332,61.95,normal
213.0,0.6416,2964.6,14.799,49.1,308.7,15.9,1.515,62.41,normal
214.0,0.6454,2969.9,14.744,49.1,308.7,15.9,1.395,62.96,normal
215.0,0.6428,2963.6,14.719,48.2,303.1,15.9,1.811,62.82,normal
216.0,0.643,2967.2,14.723,48.2,303.1,15.9,1.897,62.45,normal
217.0,0.6508,2971.5,14.751,48.2,303.1,15.9,1.552,62.05,normal
218.0,0.6497,2968.3,14.775,48.2,303.1,15.9,1.598,62.78,normal
219.0,0.6491,2968.6,14.639,48.2,303.1,15.9,1.727,62.47,normal
220.0,0.6596,2960.2,14.844,49.5,311.1,15.9,1.575,63.16,normal
221.0,0.6444,2970.1,14.686,49.5,311.1,15.9,1.493,63.69,normal
222.0,0.6454,2969.0,14.782,49.5,311.1,15.9,1.662,62.28,normal
223.0,0.6514,2975.7,14.736,49.5,311.1,15.9,1.621,63.05,normal
224.0,0.6618,2972.6,14.772,49.5,311.1,15.9,1.426,63.6,normal
225.0,0.6445,2969.3,14.7,48.3,303.9,15.9,1.577,62.42,normal
226.0,0.6505,2969.8,14.82,48.3,303.9,15.9,1.658,62.01,normal
227.0,0.6599,2972.6,14.679,48.3,303.9,15.9,1.686,62.84,normal
228.0,0.652,2972.8,14.731,48.3,303.9,15.9,1.61,62.08,normal
229.0,0.6512,2965.4,14.667,48.3,303.9,15.9,1.83,61.53,normal
230.0,0.6407,2961.7,14.706,48.1,302.2,15.9,1.386,63.44,normal
231.0,0.6555,2966.6,14.852,48.1,302.2,15.9,1.741,61.98,normal
232.0,0.6278,2974.4,14.667,48.1,302.2,15.9,1.33,62.84,normal
233.0,0.6634,2973.1,14.767,48.1,302.2,15.9,1.687,62.99,normal
234.0,0.6643,2969.9,14.745,48.1,302.2,15.9,1.589,61.71,normal
235.0,0.6544,2963.7,14.734,49.1,308.6,15.9,1.444,61.35,normal
236.0,0.6541,2973.0,14.785,49.1,308.6,15.9,1.357,61.44,normal
237.0,0.6615,2966.3,14.729,49.1,308.6,15.9,1.679,61.52,normal
238.0,0.6568,2965.1,14.71,49.1,308.6,15.9,1.642,60.98,normal
239.0,0.6579,2969.0,14.769,49.1,308.6,15.9,1.628,63.35,normal
240.0,0.6552,2967.7,14.746,49.1,309.0,15.9,1.675,62.28,normal
241.0,0.6531,2966.8,14.707,49.1,309.0,15.9,1.381,63.62,normal
242.0,0.6392,2966.2,14.703,49.1,309.0,15.9,1.718,61.88,normal
243.0,0.6571,2966.9,14.754,49.1,309.0,15.9,1.469,63.97,normal
244.0,0.6417,2969.2,14.77,49.1,309.0,15.9,1.647,61.99,normal
245.0,0.6446,2968.4,14.731,48.3,304.0,15.9,1.731,63.93,normal
246.0,0.6418,2964.0,14.733,48.3,304.0,15.9,1.972,61.49,normal
247.0,0.6623,2973.9,14.711,48.3,304.0,15.9,1.683,63.6,normal
248.0,0.6524,2968.0,14.71,48.3,304.0,15.9,1.439,61.7,normal
249.0,0.639,2968.2,14.699,48.3,304.0,15.9,1.618,60.87,normal
250.0,0.6479,2970.8,14.638,48.6,305.5,15.9,1.645,63.17,normal
251.0,0.6369,2972.8,14.757,48.6,305.5,15.9,1.476,62.05,normal
252.0,0.6491,2968.4,14.764,48.6,305.5,15.9,1.451,62.33,normal
253.0,0.6355,2967.4,14.69,48.6,305.5,15.9,1.471,63.07,normal
254.0,0.6537,2970.2,14.682,48.6,305.5,15.9,1.545,63.2,normal
255.0,0.6533,2975.5,14.757,49.0,308.1,15.9,1.621,61.98,normal
256.0,0.6531,2968.0,14.772,49.0,308.1,15.9,1.735,61.6,normal
257.0,0.6383,2962.4,14.761,49.0,308.1,15.9,1.417,60.38,normal
258.0,0.6481,2975.8,14.736,49.0,308.1,15.9,1.715,62.25,normal
259.0,0.6481,2971.1,14.721,49.0,308.1,15.9,1.629,62.44,normal
260.0,0.6424,2971.0,14.727,48.2,303.0,15.9,1.472,62.57,normal
261.0,0.6373,2967.8,14.735,48.2,303.0,15.9,1.745,62.48,normal
262.0,0.6435,2970.4,14.805,48.2,303.0,15.9,1.67,62.16,normal
263.0,0.6337,2964.3,14.718,48.2,303.0,15.9,1.489,61.92,normal
264.0,0.6425,2969.4,14.73,48.2,303.0,15.9,1.658,62.19,normal
265.0,0.6265,2964.3,14.725,47.0,295.5,15.9,1.394,62.49,normal
266.0,0.6536,2971.8,14.723,47.0,295.5,15.9,1.816,62.35,normal
267.0,0.6485,2966.3,14.719,47.0,295.5,15.9,1.531,62.32,normal
268.0,0.6509,2968.2,14.756,47.0,295.5,15.9,1.769,62.97,normal
269.0,0.6357,2959.9,14.78,47.0,295.5,15.9,1.376,61.91,normal
270.0,0.6312,2961.9,14.759,47.3,297.7,15.9,1.693,61.59,normal
271.0,0.6148,2964.9,14.749,47.3,297.7,15.9,1.347,62.07,normal
272.0,0.6323,2968.7,14.736,47.3,297.7,15.9,1.433,63.02,normal
273.0,0.6396,2967.2,14.683,47.3,297.7,15.9,1.517,61.41,normal
274.0,0.6432,2972.6,14.662,47.3,297.7,15.9,1.344,63.32,normal
275.0,0.6446,2965.7,14.783,48.3,304.0,15.9,1.496,63.62,normal
276.0,0.6541,2966.7,14.84,48.3,304.0,15.9,1.502,62.83,normal
277.0,0.6551,2972.3,14.811,48.3,304.0,15.9,1.598,61.64,normal
278.0,0.6572,2966.6,14.835,48.3,304.0,15.9,1.615,61.97,normal
279.0,0.6555,2964.7,14.686,48.3,304.0,15.9,1.773,61.72,normal
280.0,0.6424,2969.8,14.793,48.2,302.9,15.9,1.693,62.94,normal
281.0,0.6387,2963.6,14.808,48.2,302.9,15.9,1.535,61.91,normal
282.0,0.6577,2970.4,14.758,48.2,302.9,15.9,1.919,61.75,normal
283.0,0.6632,2969.2,14.749,48.2,302.9,15.9,1.827,62.71,normal
284.0,0.6621,2972.4,14.719,48.2,302.9,15.9,1.471,61.46,normal
285.0,0.6364,2974.3,14.68,47.7,300.1,15.9,1.549,61.87,normal
286.0,0.6464,2970.7,14.778,47.7,300.1,15.9,1.5,62.04,normal
287.0,0.6511,2967.8,14.816,47.7,300.1,15.9,1.664,62.8,normal
288.0,0.6572,2972.3,14.746,47.7,300.1,15.9,1.4,62.58,normal
289.0,0.6472,2966.8,14.765,47.7,300.1,15.9,1.774,62.19,normal
290.0,0.6518,2973.7,14.749,48.9,307.4,15.9,1.981,62.67,normal
291.0,0.6334,2970.1,14.754,48.9,307.4,15.9,1.774,62.61,normal
292.0,0.6404,2964.2,14.725,48.9,307.4,15.9,1.457,61.66,normal
293.0,0.6512,2973.3,14.756,48.9,307.4,15.9,1.411,62.57,normal
294.0,0.6626,2967.1,14.73,48.9,307.4,15.9,1.6,61.67,normal
295.0,0.6629,2968.7,14.759,49.7,312.6,15.9,1.465,61.95,normal
296.0,0.6637,2968.2,14.825,49.7,312.6,15.9,1.538,62.49,normal
297.0,0.6663,2965.2,14.652,49.7,312.6,15.9,1.371,63.34,normal
298.0,0.6527,2976.7,14.711,49.7,312.6,15.9,1.619,63.46,normal
299.0,0.6715,2976.0,14.802,49.7,312.6,15.9,1.757,62.85,normal
300.0,0.6686,2968.1,14.701,50.1,315.3,15.9,1.601,62.21,normal
301.0,0.6549,2971.4,14.789,50.1,315.3,15.9,1.606,63.42,normal
302.0,0.6411,2968.0,14.703,50.1,315.3,15.9,1.305,62.06,normal
303.0,0.6444,2973.0,14.771,50.1,315.3,15.9,1.433,63.64,normal
304.0,0.6595,2970.8,14.73,50.1,315.3,15.9,1.452,61.98,normal
305.0,0.6657,2975.1,14.819,49.9,314.0,15.9,1.526,61.43,normal
306.0,0.6594,2964.0,14.758,49.9,314.0,15.9,1.573,61.9,normal
307.0,0.6388,2969.9,14.712,49.9,314.0,15.9,1.408,59.81,normal
308.0,0.6442,2973.7,14.822,49.9,314.0,15.9,1.518,61.67,normal
309.0,0.6519,2965.6,14.755,49.9,314.0,15.9,1.706,63.2,normal
310.0,0.65,2968.0,14.695,48.8,306.6,15.9,1.466,62.02,normal
311.0,0.6538,2971.4,14.7,48.8,306.6,15.9,1.816,62.01,normal
312.0,0.6518,2966.5,14.618,48.8,306.6,15.9,1.724,62.8,normal
313.0,0.6482,2968.7,14.765,48.8,306.6,15.9,1.355,61.76,normal
314.0,0.6571,2965.1,14.755,48.8,306.6,15.9,1.391,62.63,normal
315.0,0.6533,2964.0,14.798,49.0,308.1,15.9,1.482,61.58,normal
316.0,0.6537,2972.2,14.689,49.0,308.1,15.9,1.601,62.57,normal
317.0,0.6589,2969.5,14.722,49.0,308.1,15.9,1.471,62.34,normal
318.0,0.6438,2959.6,14.761,49.0,308.1,15.9,1.722,60.26,normal
319.0,0.6369,2969.9,14.84,49.0,308.1,15.9,1.585,61.51,normal
320.0,0.6417,2972.1,14.705,48.1,302.6,15.9,1.465,61.75,normal
321.0,0.6364,2968.1,14.817,48.1,302.6,15.9,1.63,61.89,normal
322.0,0.6404,2963.1,14.78,48.1,302.6,15.9,1.573,61.98,normal
323.0,0.6772,2970.3,14.702,48.1,302.6,15.9,1.542,63.34,normal
324.0,0.6648,2964.9,14.786,48.1,302.6,15.9,1.499,63.82,normal
325.0,0.6683,2968.2,14.805,50.1,315.2,15.9,1.611,63.03,normal
326.0,0.6641,2967.0,14.709,50.1,315.2,15.9,1.753,62.04,normal
327.0,0.6531,2966.2,14.762,50.1,315.2,15.9,1.901,61.37,normal
328.0,0.6519,2973.1,14.736,50.1,315.2,15.9,1.659,61.37,normal
329.0,0.6553,2968.4,14.79,50.1,315.2,15.9,1.771,64.31,normal
330.0,0.6586,2970.2,14.751,49.4,310.6,15.9,1.542,62.54,normal
331.0,0.6514,2969.4,14.806,49.4,310.6,15.9,1.44,63.12,normal
332.0,0.664,2969.0,14.636,49.4,310.6,15.9,1.507,63.35,normal
333.0,0.6569,2966.2,14.717,49.4,310.6,15.9,1.72,62.69,normal
334.0,0.6511,2967.8,14.721,49.4,310.6,15.9,1.452,63.5,normal
335.0,0.6475,2972.3,14.816,48.6,305.3,15.9,1.738,61.83,normal
336.0,0.6529,2968.7,14.696,48.6,305.3,15.9,1.64,61.28,normal
337.0,0.6634,2967.9,14.752,48.6,305.3,15.9,1.641,62.1,normal
